ModelFamily	ModelSize	ModelSeed	ModelStep	CorrelatingVariable	PearsonR	SpearmanRho
pythia	1_4b	seed1234	143000	OpenWebText_1gram	0.49712092212168935	0.496802057124739
pythia	160m	seed8	32	Pile_5gram	0.4107196815914215	0.4017614926327927
pythia	160m	seed8	32	Pile_4gram	0.45161543208997684	0.4534702061433737
pythia	160m	seed8	32	Pile_3gram	0.5281325975688562	0.5255918147757119
pythia	160m	seed8	32	Pile_2gram	0.6242791469166125	0.6075348119223246
pythia	160m	seed8	32	Pile_1gram	0.7550163239112163	0.7040282541875712
pythia	160m	seed8	32	wcd_cc	0.5681298133243328	0.5070390561310484
pythia	160m	seed8	32	ucd_cc	0.5852377049623149	0.5211736210112411
pythia	160m	seed8	32	wcd_wiki	0.40567183227382225	0.3085320859048804
pythia	160m	seed8	32	ucd_wiki	0.38770023429776673	0.3024407034666781
pythia	160m	seed8	32	OpenWebText_5gram	0.44183569818628776	0.43080260857175146
pythia	160m	seed8	32	OpenWebText_4gram	0.4615285330887949	0.46001140285464326
pythia	160m	seed8	32	OpenWebText_3gram	0.5198265574217151	0.5236247927366007
pythia	160m	seed8	32	OpenWebText_2gram	0.616524891843494	0.6071178950275387
pythia	160m	seed8	32	OpenWebText_1gram	0.743349115220686	0.7011428232160046
pythia	31m	seed6	2	Pile_5gram	-0.022850564854594566	-0.022689392639453267
pythia	31m	seed6	2	Pile_4gram	-0.02640213889483536	-0.027865530213245303
pythia	31m	seed6	2	Pile_3gram	-0.03398234674396359	-0.03687455185820644
pythia	31m	seed6	2	Pile_2gram	-0.03849266209404905	-0.04089607786499225
pythia	31m	seed6	2	Pile_1gram	-0.0439267459664846	-0.03933050775264133
pythia	31m	seed6	2	wcd_cc	-0.014032488233098155	-0.021654402420595967
pythia	31m	seed6	2	ucd_cc	-0.013829695535846799	-0.023815858037652682
pythia	31m	seed6	2	wcd_wiki	0.015425356055823434	0.007879777482078453
pythia	31m	seed6	2	ucd_wiki	0.013804626229828	0.007057058400823582
pythia	31m	seed6	2	OpenWebText_5gram	-0.025669538711465885	-0.026809906901401368
pythia	31m	seed6	2	OpenWebText_4gram	-0.028646779163363174	-0.030789578357153947
pythia	31m	seed6	2	OpenWebText_3gram	-0.03477261168874809	-0.03853703981765045
pythia	31m	seed6	2	OpenWebText_2gram	-0.041597893404364594	-0.0441168454918555
pythia	31m	seed6	2	OpenWebText_1gram	-0.045518517799531436	-0.04101270409421407
pythia	70m	seed1	256	Pile_5gram	0.6005766026636901	0.5863572487630376
pythia	70m	seed1	256	Pile_4gram	0.6524906047126284	0.6503695140946804
pythia	70m	seed1	256	Pile_3gram	0.7446471334584674	0.7468797510100025
pythia	70m	seed1	256	Pile_2gram	0.8739377738479049	0.8744364449241087
pythia	70m	seed1	256	Pile_1gram	0.931352770881359	0.9331687949183782
pythia	70m	seed1	256	wcd_cc	0.6852893679766757	0.6972845194281347
pythia	70m	seed1	256	ucd_cc	0.6910016334358998	0.7045799069321513
pythia	70m	seed1	256	wcd_wiki	0.39105678180712833	0.38213767139155697
pythia	70m	seed1	256	ucd_wiki	0.3689425037866244	0.3592992692976901
pythia	70m	seed1	256	OpenWebText_5gram	0.6496132072467403	0.6378334441706967
pythia	70m	seed1	256	OpenWebText_4gram	0.6776732674092469	0.6720222958625696
pythia	70m	seed1	256	OpenWebText_3gram	0.7449712378760114	0.7480165980954785
pythia	70m	seed1	256	OpenWebText_2gram	0.8663116003733722	0.8688781609333083
