RegressionType	ModelFamily	ModelSize	ModelSeed	ModelStep	Rsquared	Rsquared_val
UnmatchedNgram_UCDWiki	pythia	70m	seed1	0	0.00776724063731582	0.008649904356509919
UnmatchedNgram_WCDWiki	pythia	70m	seed1	0	0.007861637023771295	0.008855485251301642
MatchedNgram_UCDCC	pythia	70m	seed1	0	0.007529408181025654	0.008108394510766836
MatchedNgram_WCDCC	pythia	70m	seed1	0	0.007601103299731404	0.008173191742284702
MatchedNgram_UCDWiki	pythia	70m	seed1	0	0.008008505531645116	0.008670219330152329
MatchedNgram_WCDWiki	pythia	70m	seed1	0	0.00811311292262995	0.00891442621503824
UnmatchedNgram_UCDCC	pythia	70m	seed4	16000	0.6543929026196544	0.656004056344218
UnmatchedNgram_WCDCC	pythia	70m	seed4	16000	0.653836110591134	0.6557510682173918
UnmatchedNgram_UCDWiki	pythia	70m	seed4	16000	0.6672758662420968	0.6683532104418352
UnmatchedNgram_WCDWiki	pythia	70m	seed4	16000	0.6644637083148951	0.6661151893743955
MatchedNgram_UCDCC	pythia	70m	seed4	16000	0.6543000537794017	0.6576410810848438
MatchedNgram_WCDCC	pythia	70m	seed4	16000	0.6542172067129127	0.657898232588302
MatchedNgram_UCDWiki	pythia	70m	seed4	16000	0.6650432486642452	0.6680945506488645
MatchedNgram_WCDWiki	pythia	70m	seed4	16000	0.6637807248889371	0.6670570795160048
UnmatchedNgram_UCDCC	pythia	70m	seed5	16	0.275712303955321	0.27700448789819243
UnmatchedNgram_WCDCC	pythia	70m	seed5	16	0.27517738293185634	0.2766098579669378
UnmatchedNgram_UCDWiki	pythia	70m	seed5	16	0.2813903398373444	0.28388876761164916
UnmatchedNgram_WCDWiki	pythia	70m	seed5	16	0.28482787717891755	0.2874349842998658
MatchedNgram_UCDCC	pythia	70m	seed5	16	0.2845152826467753	0.2865937803041979
MatchedNgram_WCDCC	pythia	70m	seed5	16	0.2842196258268548	0.2864403576849226
MatchedNgram_UCDWiki	pythia	70m	seed5	16	0.2895513061361509	0.2929001397185399
MatchedNgram_WCDWiki	pythia	70m	seed5	16	0.2928859467099246	0.29637072755741634
UnmatchedNgram_UCDCC	pythia	70m	seed5	128	0.8884236891000487	0.8873558578475169
UnmatchedNgram_WCDCC	pythia	70m	seed5	128	0.8893555565133818	0.8883457509894941
UnmatchedNgram_UCDWiki	pythia	70m	seed5	128	0.8876157296582868	0.8867681587873867
UnmatchedNgram_WCDWiki	pythia	70m	seed5	128	0.8889584307102268	0.8881875317934768
MatchedNgram_UCDCC	pythia	70m	seed5	128	0.903676426609237	0.9031917009379109
MatchedNgram_WCDCC	pythia	70m	seed5	128	0.9048268902871015	0.9043832235892673
MatchedNgram_UCDWiki	pythia	70m	seed5	128	0.9023887258943182	0.9022183121067254
MatchedNgram_WCDWiki	pythia	70m	seed5	128	0.9036825404557026	0.9035547175742347
UnmatchedNgram_UCDCC	pythia	160m	seed6	4	0.05581353118829202	0.05176150628432097
UnmatchedNgram_WCDCC	pythia	160m	seed6	4	0.05540603807343403	0.05115747510126545
UnmatchedNgram_UCDWiki	pythia	160m	seed6	4	0.058534024199000556	0.054794266971443406
UnmatchedNgram_WCDWiki	pythia	160m	seed6	4	0.06013451080354504	0.05632327315861996
MatchedNgram_UCDCC	pythia	160m	seed6	4	0.057504688283474104	0.05339856512188601
MatchedNgram_WCDCC	pythia	160m	seed6	4	0.057161569831249426	0.052885084280682726
MatchedNgram_UCDWiki	pythia	160m	seed6	4	0.05996522384423486	0.05622353945959202
MatchedNgram_WCDWiki	pythia	160m	seed6	4	0.06144463678451817	0.05768164295731659
UnmatchedNgram_UCDCC	pythia	2_8b	seed1234	0	0.0014957701905539134	0.0016251357415644208
UnmatchedNgram_WCDCC	pythia	2_8b	seed1234	0	0.0012765403283239163	0.0014365336367236914
UnmatchedNgram_UCDWiki	pythia	2_8b	seed1234	0	0.0012334215187775888	0.0017321581727204327
UnmatchedNgram_WCDWiki	pythia	2_8b	seed1234	0	0.0011593727538621312	0.0015162939612405335
MatchedNgram_UCDCC	pythia	2_8b	seed1234	0	0.0013543171569119217	0.0014689949022875792
MatchedNgram_WCDCC	pythia	2_8b	seed1234	0	0.0010732922798090128	0.0012153032254937912
MatchedNgram_UCDWiki	pythia	2_8b	seed1234	0	0.0009399780075109998	0.0014310468219436157
MatchedNgram_WCDWiki	pythia	2_8b	seed1234	0	0.0008757356753874568	0.0012320012970681304
UnmatchedNgram_UCDCC	pythia	160m	seed4	32000	0.6198750811566609	0.6228167671697219
